Rank,Track,Artist1,Artist2,Album,Release,Popularity,Duration,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
37,Bury Me in Georgia - Single Edit,Kane Brown,,Bury Me in Georgia,2023-03-31,54,170682,0.391,0.816,2,-5.746,0,0.066,0.0169,0,0.0893,0.457,160.001
38,Next Thing You Know,Jordan Davis,,Bluebird Days,2023-02-17,77,175226,0.549,0.608,5,-8.253,1,0.0481,0.682,0,0.0966,0.399,78.534
39,Outskirts,Sam Hunt,,Outskirts,2023-03-10,70,182706,0.552,0.774,10,-3.685,1,0.0401,0.215,0,0.126,0.194,75.07
40,Save Me The Trouble,Dan + Shay,,"Save Me The Trouble, Heartbreak On The Map, Bigger Houses",2023-07-14,55,200346,0.444,0.629,9,-4.435,1,0.0318,0.00544,0,0.271,0.376,134.931
41,Looking Back Now,First Time Flyers,,Looking Back Now,2024-04-12,40,224400,0.585,0.819,11,-4.811,0,0.0408,0.145,0,0.106,0.451,95.963
42,What If I Don't,Shaylen,,What If I Don't,2022-07-22,56,201544,0.524,0.806,4,-5.785,1,0.0522,0.0521,0,0.189,0.568,143.923
43,goodbye looks good on you (feat. Mitchell Tenpenny),Alana Springsteen,Mitchell Tenpenny,TWENTY SOMETHING: Messing It Up,2023-08-18,64,171080,0.667,0.671,1,-4.2,0,0.0496,0.413,0,0.0809,0.695,83.962
44,Out Of That Truck,Carrie Underwood,,Out Of That Truck,2023-09-22,61,177400,0.563,0.755,5,-4.504,1,0.0253,0.0134,0,0.399,0.811,92.988
45,Bigger in Texas,Bri Fletcher,,Bigger in Texas,2024-04-19,39,207824,0.495,0.565,1,-5.943,0,0.0342,0.212,0,0.251,0.376,147.805
46,I'm Not Pretty,Megan Moroney,,Lucky,2023-05-05,72,181066,0.573,0.795,10,-5.561,1,0.0558,0.129,0.0000178,0.186,0.705,128.101
47,Country Boy's Dream Girl,Ella Langley,,Excuse The Mess,2023-05-19,66,185026,0.591,0.787,8,-4.56,1,0.0407,0.249,0,0.11,0.436,139.997
48,The Kind of Love We Make,Luke Combs,,The Kind of Love We Make,2022-06-24,80,224426,0.608,0.745,1,-4.13,1,0.0277,0.0226,0.00000647,0.0942,0.464,102.025
49,Love You Again,Chase Matthew,,Love You Again,2023-06-09,72,173636,0.564,0.823,10,-5.319,0,0.0297,0.214,0,0.432,0.472,132.113
50,Call It,Gulf Stream Riders,,Call It,2024-04-12,39,242500,0.591,0.487,4,-10.133,0,0.0269,0.174,0,0.0978,0.322,131.915
51,She Had Me At Heads Carolina,Cole Swindell,,Stereotype,2022-04-08,73,206106,0.607,0.912,8,-3.449,1,0.0611,0.124,0,0.332,0.722,134.944
52,God Gave Me A Girl,Russell Dickerson,,Russell Dickerson,2022-11-04,57,187226,0.518,0.845,7,-5.051,1,0.0647,0.249,0,0.0764,0.37,142.133
